DrugCode,DrugCode24,DrugNameTh,DrugNameEn,DrugType
,100942000000780210181424,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181124,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181484,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181484,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181187,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,100942000000780210181424,,SODIUM CHLORIDE 0.9 G/100 ML INJECTION,43folders
,211010220017540110181453,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017540110181453,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017540110181124,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,100942000000780410981124,,"SODIUM CHLORIDE 9 G/1000 ML SOLUTION, STERILE",43folders
,301172122000800240110681,,CHLORHEXIDINE GLUCONATE 1 %W/V CREAM,43folders
,300387056000800270110742,,"EPHEDRINE CHLORIDE 1 %W/V SOLUTION OR DROPS, NASAL",43folders
,300387280000800270110681,,"EPHEDRINE SULFATE 1 %W/V SOLUTION OR DROPS, NASAL",43folders
,300387133000800270110702,,"EPHEDRINE HYDROCHLORIDE 1 %W/V SOLUTION OR DROPS, NASAL",43folders
,100349280000801260581289,,"ATROPINE SULFATE 10 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,100348000000801260581289,,"PILOCARPINE 10 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,100558000000800210181483,,LIDOCAINE 1 %W/V INJECTION,43folders
,100558000000800210181483,,LIDOCAINE 1 %W/V INJECTION,43folders
,100558000000800210181308,,LIDOCAINE 1 %W/V INJECTION,43folders
,100558000000800210181308,,LIDOCAINE 1 %W/V INJECTION,43folders
,100558000000801210181589,,LIDOCAINE 10 MG/1 ML INJECTION,43folders
,100558000000801210181589,,LIDOCAINE 10 MG/1 ML INJECTION,43folders
,101191000000801260581289,,"TROPICAMIDE 10 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,301732000000800241510702,,"PHENOL 1 %W/V SOLUTION, EXTERNAL",43folders
,100558000000850210181589,,LIDOCAINE 15 MG/1 ML INJECTION,43folders
,100558000000850310181308,,LIDOCAINE 1.5 G/100 ML INJECTION,43folders
,100558000000850210181483,,LIDOCAINE 15 MG/1 ML INJECTION,43folders
,201110510019999910181634,,VITAMIN B COMPLEX INJECTION,43folders
,100942000000690210181398,,SODIUM CHLORIDE 450 MG/100 ML INJECTION,43folders
,211020110017144110181408,,DEXTRAN 40+SODIUM CHLORIDE (10 G+0.9 G)/100 ML INJECTION,43folders
,211010220017140110181408,,DEXTROSE+SODIUM CHLORIDE (10 G+0.18 G)/100 ML INJECTION,43folders
,211010220017143110181398,,DEXTROSE+SODIUM CHLORIDE (10 G+0.45 G)/100 ML INJECTION,43folders
,211010220017144110181398,,DEXTROSE+SODIUM CHLORIDE (10 G+0.9 G)/100 ML INJECTION,43folders
,100994000001320210181239,,DEXTROSE 10 G/100 ML INJECTION,43folders
,100994000001320210181621,,DEXTROSE 10 G/100 ML INJECTION,43folders
,100994000001320210181398,,DEXTROSE 10 G/100 ML INJECTION,43folders
,100994000001320210181408,,DEXTROSE 10 G/100 ML INJECTION,43folders
,302063265000070142110702,,"FORMALDEHYDE 10 %V/V SPIRIT, EXTERNAL",43folders
,100997000001321410181124,,GLUCOSE 10 %W/V INJECTION,43folders
,100997000001320210181124,,GLUCOSE 10 G/100 ML INJECTION,43folders
,101047000001320210181408,,MANNITOL 10 G/100 ML INJECTION,43folders
,300942000001321430812438,,"SODIUM CHLORIDE 10 %W/V SOLUTION OR DROPS, ORAL",43folders
,301760000002240240110702,,UREA 10 %W/W CREAM,43folders
,211010220017143110181408,,DEXTROSE+SODIUM CHLORIDE (10 G+0.45 G)/100 ML INJECTION,43folders
,300930000001331130310702,,POTASSIUM CITRATE 11 G/100 ML MIXTURE,43folders
,201110200019999920381113,,"MULTIVITAMINS TABLET, ORAL",43folders
,100348000000921060581289,,"PILOCARPINE 20 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,100558000000921010181519,,LIDOCAINE 20 MG/1 ML INJECTION,43folders
,100558000000920910181483,,LIDOCAINE 2 %W/V INJECTION,43folders
,100558000000920910181308,,LIDOCAINE 2 %W/V INJECTION,43folders
,100558000000921010181589,,LIDOCAINE 20 MG/1 ML INJECTION,43folders
,101658000000921241581222,,"MERBROMIN 2 G/100 ML SOLUTION, EXTERNAL",43folders
,300926000000950860610742,,"SODIUM BICARBONATE 2.5 G/100 ML SOLUTION OR DROPS, EAR",43folders
,211010110119999910181408,,ELECTROLYTE SOLUTIONS (D-2.5-1/2 str. HARTMANN'S SOL.) INJECTION,43folders
,100994000001460410181408,,DEXTROSE 20 G/100 ML INJECTION,43folders
,101047000001460410181408,,MANNITOL 20 G/100 ML INJECTION,43folders
,300942000001460630812438,,"SODIUM CHLORIDE 20 %W/V SOLUTION OR DROPS, ORAL",43folders
,301760000002300140110702,,UREA 20 %W/W CREAM,43folders
,300942000001460610910745,,"SODIUM CHLORIDE 20 %W/V SOLUTION, STERILE",43folders
,301646000006230130410742,,BENZYL BENZOATE 25 % W/V SUSPENSION,43folders
,100994000001480210181408,,DEXTROSE 25 G/100 ML INJECTION,43folders
,100994000001480210181408,,DEXTROSE 25 G/100 ML INJECTION,43folders
,301638000006230141510702,,"SODIUM THIOSULFATE 25 % W/V SOLUTION, EXTERNAL",43folders
,201110400017411110181625,,VITAMIN B1+B6+B12 (200 MG+50 MG+1 MG)/2 ML INJECTION,43folders
,201110400017853120381625,,"VITAMIN B1+B6+B12 100 MG+5 MG+50 MCG TABLET, ORAL",43folders
,201110400017837220381625,,"VITAMIN B1+B6+B12 100 MG+200 MG+200 MCG TABLET, ORAL",43folders
,201110400017858120381102,,"VITAMIN B1+B6+B12 100 MG+50 MG+100 MCG TABLET, ORAL",43folders
,300387056001010570110742,,"EPHEDRINE CHLORIDE 3 %W/V SOLUTION OR DROPS, NASAL",43folders
,301803241002120140110702,,"COAL TAR, PREPARED 3 G/100 G CREAM",43folders
,300939000001010530110702,,POTASSIUM CHLORIDE 3 %W/V ELIXIR,43folders
,100942000001010410181408,,SODIUM CHLORIDE 30 G/1000 ML INJECTION,43folders
,100994000001490310181408,,DEXTROSE 30 G/100 ML INJECTION,43folders
,201110400017842120381028,,"VITAMIN B1+B6+B12 100 MG+25 MG+100 MCG TABLET, ORAL",43folders
,201110400017823120381583,,"VITAMIN B1+B6+B12 100 MG+10 MG+50 MCG TABLET, ORAL",43folders
,102209000004493120781605,,"CALCIUM CARBONATE 500 MG TABLET, CHEWABLE",43folders
,102209000004493120781605,,"CALCIUM CARBONATE 500 MG TABLET, CHEWABLE",43folders
,102209000004493120781605,,"CALCIUM CARBONATE 500 MG TABLET, CHEWABLE",43folders
,100348000001100860581289,,"PILOCARPINE 40 MG/1 ML SOLUTION OR DROPS, EYE",43folders
,100558000001100710181483,,LIDOCAINE 4 %W/V INJECTION,43folders
,100558000001100710181308,,LIDOCAINE 4 %W/V INJECTION,43folders
,100558000001100810181589,,LIDOCAINE 40 MG/1 ML INJECTION,43folders
,211010220017511110181408,,DEXTROSE+SODIUM CHLORIDE (4.3 G+0.18 G)/100 ML INJECTION,43folders
,100994000001550110181408,,DEXTROSE 40 G/100 ML INJECTION,43folders
,213020100022240240181618,,ANALGESIC CREAM 10 %W/W CREAM,43folders
,218020100219999920981179,,PHARYNGEAL PREPARATIONS LOZENGE OR TROCHE OR PASTILLE,43folders
,100322000001170810181041,,"5-FLUOROURACIL 1,000 MG/20 ML INJECTION",43folders
,100322000004292210181041,,5-FLUOROURACIL 250 MG/1 AMP. OR VIAL INJECTION,43folders
,100322000001170210181041,,5-FLUOROURACIL 500 MG/10 ML INJECTION,43folders
,100322000001170610181041,,5-FLUOROURACIL 5 G/100 ML INJECTION,43folders
,100322000001170510181041,,"5-FLUOROURACIL 5,000 MG/100 ML INJECTION",43folders
,100322000001171210181349,,5-FLUOROURACIL 50 MG/1 ML INJECTION,43folders
,100322000004021221781349,,"5-FLUOROURACIL 100 MG TABLET, FILM COATED",43folders
,301803241001170340110681,,"COAL TAR, PREPARED 5 %W/V CREAM",43folders
,211010220017534110181398,,DEXTROSE+SODIUM CHLORIDE (5 G+0.18 G)/100 ML INJECTION,43folders
,211010220017539110181424,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017539110181424,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017539110181424,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017540110181239,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017540110181621,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010110029999910181239,,DEXTROSE 5%+ACETATED RINGER'S INJECTION INJECTION,43folders
,211010110029999910181621,,DEXTROSE 5%+ACETATED RINGER'S INJECTION INJECTION,43folders
,100994000001170610181239,,DEXTROSE 5 G/100 ML INJECTION,43folders
,101732000001170341581673,,"PHENOL 5 %W/V SOLUTION, EXTERNAL",43folders
,211010220017537110181398,,DEXTROSE+SODIUM CHLORIDE (5 G+0.225 G)/100 ML INJECTION,43folders
,211010220017537110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.225 G)/100 ML INJECTION,43folders
,211010220017538110181398,,DEXTROSE+SODIUM CHLORIDE (5 G+0.3 G)/100 ML INJECTION,43folders
,211010220017538110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.3 G)/100 ML INJECTION,43folders
,211010220017538110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.3 G)/100 ML INJECTION,43folders
,211010220018535110181424,,DEXTROSE+SODIUM CHLORIDE (5 G+0.33 G)/100 ML INJECTION,43folders
,211010220018535110181424,,DEXTROSE+SODIUM CHLORIDE (5 G+0.33 G)/100 ML INJECTION,43folders
,211010220017539110181398,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017539110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017539110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017540110181408,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017540110181424,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017540110181398,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010220017538110181239,,DEXTROSE+SODIUM CHLORIDE (5 G+0.3 G)/100 ML INJECTION,43folders
,211010220017538110181621,,DEXTROSE+SODIUM CHLORIDE (5 G+0.3 G)/100 ML INJECTION,43folders
,211010220018535110182225,,DEXTROSE+SODIUM CHLORIDE (5 G+0.33 G)/100 ML INJECTION,43folders
,211010220017539110181239,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017539110181621,,DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML INJECTION,43folders
,211010220017540110182225,,DEXTROSE+SODIUM CHLORIDE (5 G+0.9 G)/100 ML INJECTION,43folders
,211010110059999910181408,,DEXTROSE 5%+LACTATED RINGER'S INJECTION INJECTION,43folders
,100994000001170610181621,,DEXTROSE 5 G/100 ML INJECTION,43folders
,100994000001170610181424,,DEXTROSE 5 G/100 ML INJECTION,43folders
,100994000001170610181398,,DEXTROSE 5 G/100 ML INJECTION,43folders
,100994000001170610181408,,DEXTROSE 5 G/100 ML INJECTION,43folders
,100994000001170610181408,,DEXTROSE 5 G/100 ML INJECTION,43folders
,100994000001170610181424,,DEXTROSE 5 G/100 ML INJECTION,43folders
,211010110059999910181544,,DEXTROSE 5%+LACTATED RINGER'S INJECTION INJECTION,43folders
,100997000001170310181124,,GLUCOSE 5 %W/V INJECTION,43folders
,100994000001170310181408,,DEXTROSE 5 %W/V INJECTION,43folders
,100997000001170610181124,,GLUCOSE 5 G/100 ML INJECTION,43folders
,214010200057594210181589,,LIDOCAINE+DEXTROSE (50 MG+75 MG)/1 ML INJECTION,43folders
,214010200057594210181308,,LIDOCAINE+DEXTROSE (50 MG+75 MG)/1 ML INJECTION,43folders
,214010200057594210181483,,LIDOCAINE+DEXTROSE (50 MG+75 MG)/1 ML INJECTION,43folders
,301795000002160740110702,,SALICYLIC ACID 5 %W/W CREAM,43folders
,300926000001170360610702,,"SODIUM BICARBONATE 5 %W/V SOLUTION OR DROPS, EAR",43folders
,100997000001170310981124,,"GLUCOSE 5 %W/V SOLUTION, STERILE",43folders
,100994000001580210181408,,DEXTROSE 50 G/100 ML INJECTION,43folders
,100994000001580210181408,,DEXTROSE 50 G/100 ML INJECTION,43folders
,100994000001580110181124,,DEXTROSE 50 %W/V INJECTION,43folders
,311010220017539110910681,,"DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML SOLUTION, STERILE",43folders
,311010220017539110910681,,"DEXTROSE+SODIUM CHLORIDE (5 G+0.45 G)/100 ML SOLUTION, STERILE",43folders
,311010220017538110910681,,"DEXTROSE+SODIUM CHLORIDE (5 G+0.3 G)/100 ML SOLUTION, STERILE",43folders
,311010220017537110910681,,"DEXTROSE+SODIUM CHLORIDE (5 G+0.225 G)/100 ML SOLUTION, STERILE",43folders
,311010220017534110910681,,"DEXTROSE+SODIUM CHLORIDE (5 G+0.18 G)/100 ML SOLUTION, STERILE",43folders
,300994000001170310910681,,"DEXTROSE 5 %W/V SOLUTION, STERILE",43folders
,300994000001170310910681,,"DEXTROSE 5 %W/V SOLUTION, STERILE",43folders
,300994000001170310910681,,"DEXTROSE 5 %W/V SOLUTION, STERILE",43folders
,300994000001170310910681,,"DEXTROSE 5 %W/V SOLUTION, STERILE",43folders
,301206000000731130410702,,ALUMINIUM HYDROXIDE 6.1 MG/1 ML SUSPENSION,43folders
,201010140019999940281583,,MOUTH PREPARATION WITH FLUORIDE GEL,43folders
,201120320029999940281492,,FLUORIDE SUPPLEMENT GEL,43folders
,201120320029999940281492,,FLUORIDE SUPPLEMENT GEL,43folders
,100191000004021220181189,,DOXYCYCLINE 100 MG CAPSULE,43folders
,100939000001270110181408,,POTASSIUM CHLORIDE 7.46 G/100 ML INJECTION,43folders
,301804000050160241510702,,"ETHYL ALCOHOL 70 %V/V SOLUTION, EXTERNAL",43folders
,302140000000160230810742,,"SORBITOL 70 %V/V SOLUTION OR DROPS, ORAL",43folders
,201110200019999930581084,,MULTIVITAMINS SYRUP,43folders
,201110200019999921881084,,"MULTIVITAMINS TABLET, SUGAR COATED",43folders
,210010310018473121781620,,"AMOXICILLIN+CLAVULANIC ACID 875 MG+125 MG TABLET, FILM COATED",43folders
,210010310017256130681620,,"AMOXICILLIN+CLAVULANIC ACID (125 MG+31.25 MG)/5 ML SYRUP OR SUSPENSION, DRY POWDER",43folders
,210010310018544130681620,,"AMOXICILLIN+CLAVULANIC ACID (200 MG+28.5 MG)/5 ML SYRUP OR SUSPENSION, DRY POWDER",43folders
,210010310017256130681620,,"AMOXICILLIN+CLAVULANIC ACID (125 MG+31.25 MG)/5 ML SYRUP OR SUSPENSION, DRY POWDER",43folders
,210010310018121120381620,,"AMOXICILLIN+CLAVULANIC ACID 250 MG+125 MG TABLET, ORAL",43folders
,210010310018543130681620,,"AMOXICILLIN+CLAVULANIC ACID (400 MG+57 MG)/5 ML SYRUP OR SUSPENSION, DRY POWDER",43folders
,210010310018388120381620,,"AMOXICILLIN+CLAVULANIC ACID 500 MG+125 MG TABLET, ORAL",43folders
,101790000003721121181725,,"ISOTRETINOIN 20 MG CAPSULE, SOFT",43folders
,101790000003721121181422,,"ISOTRETINOIN 20 MG CAPSULE, SOFT",43folders
,218050100018030120381144,,"TRIPROLIDINE+PSEUDOEPHEDRINE 2.5 MG+60 MG TABLET, ORAL",43folders
,101729000001550141581247,,"MENTHOL 40 G/100 ML SOLUTION, EXTERNAL",43folders
,100090000004494110181187,,AMIKACIN 500 MG/1 AMP. OR VIAL INJECTION,43folders
,100090000004494110181187,,AMIKACIN 500 MG/1 AMP. OR VIAL INJECTION,43folders
,100752000000940330481247,,PARACETAMOL 120 MG/5 ML SUSPENSION,43folders
,218050100228397120381247,,"PARACETAMOL+CHLORPHENIRAMINE+PSEUDOEPHEDRINE 500 MG+2 MG+30 MG TABLET, ORAL",43folders
,100752000001170930481247,,PARACETAMOL 250 MG/5 ML SUSPENSION,43folders
,100752000000940330581247,,PARACETAMOL 120 MG/5 ML SYRUP,43folders
,101789000001900540281175,,TRETINOIN (VITAMIN A ACID) 0.1 %W/W GEL,43folders
,100121000004072120381592,,"CEFUROXIME 125 MG TABLET, ORAL",43folders
,100121000004293220381592,,"CEFUROXIME 250 MG TABLET, ORAL",43folders
,100121000004493121781592,,"CEFUROXIME 500 MG TABLET, FILM COATED",43folders
,101789000001810140181445,,TRETINOIN (VITAMIN A ACID) 0.025 %W/W CREAM,43folders
,101147000003670120381606,,"DEXTROMETHORPHAN 15 MG TABLET, ORAL",43folders
,201020110038148120381546,,"ALUMINIUM HYDROXIDE+MAGNESIUM TRISILICATE 250 MG+450 MG TABLET, ORAL",43folders
,100176000004493120181080,,AMOXICILLIN 500 MG CAPSULE,43folders
,100736000004140120381036,,"ASPIRIN 162 MG TABLET, ORAL",43folders
,100222000004203120381677,,"ACYCLOVIR 200 MG TABLET, ORAL",43folders
,100222000002160740181677,,ACYCLOVIR 5 %W/W CREAM,43folders
,100188000004293220181583,,TETRACYCLINE 250 MG CAPSULE,43folders
,100188000004293220181583,,TETRACYCLINE 250 MG CAPSULE,43folders
,100302000003622110181178,,DOXORUBICIN 10 MG/1 AMP. OR VIAL INJECTION,43folders
,100302000003852110181178,,DOXORUBICIN 50 MG/1 AMP. OR VIAL INJECTION,43folders
,100188000004293220181583,,TETRACYCLINE 250 MG CAPSULE,43folders
,100176000004293220181626,,AMOXICILLIN 250 MG CAPSULE,43folders
,100176000004493120181626,,AMOXICILLIN 500 MG CAPSULE,43folders
,201110510019999910181544,,VITAMIN B COMPLEX INJECTION,43folders
,201895000004493121781546,,"VITAMIN C 500 MG TABLET, FILM COATED",43folders
,207030200029999920381493,,"METHYLTESTOSTERONE+OTHERS TABLET, ORAL",43folders
,201020130028208120381546,,"ALUMINIUM HYDROXIDE+MAGNESIUM TRISILICATE+ATROPINE SULFATE+KAOLIN 300 MG+250 MG+0.125 MG TABLET, ORAL",43folders
,201020130028208120381546,,"ALUMINIUM HYDROXIDE+MAGNESIUM TRISILICATE+ATROPINE SULFATE+KAOLIN 300 MG+250 MG+0.125 MG TABLET, ORAL",43folders
,201110520019999921781546,,"VITAMIN B COMPLEX+VITAMIN C TABLET, FILM COATED",43folders
,100736000004350220381120,,"ASPIRIN 325 MG TABLET, ORAL",43folders
,218050100147227130581120,,PARACETAMOL+CHLORPHENIRAMINE+PHENYLEPHRINE (120 MG+1 MG+5 MG)/5 ML SYRUP,43folders
,100736000004350220481130,,"ASPIRIN 325 MG TABLET, ENTERIC COATED",43folders
,100736000004493120381569,,"ASPIRIN 500 MG TABLET, ORAL",43folders
,100736000004520120481130,,"ASPIRIN 650 MG TABLET, ENTERIC COATED",43folders
,100736000004000120481126,,"ASPIRIN 81 MG TABLET, ENTERIC COATED",43folders
,100736000004320120181569,,ASPIRIN 300 MG CAPSULE,43folders
,100736000004320120181569,,ASPIRIN 300 MG CAPSULE,43folders
,100736000004320120181569,,ASPIRIN 300 MG CAPSULE,43folders
,100736000004320120181569,,ASPIRIN 300 MG CAPSULE,43folders
,100736000004320120181569,,ASPIRIN 300 MG CAPSULE,43folders
,100218000004493121781118,,"ETHAMBUTOL 500 MG TABLET, FILM COATED",43folders
,100218000004410220381118,,"ETHAMBUTOL 400 MG TABLET, ORAL",43folders
,101895000002621121781555,,"VITAMIN C 1 G TABLET, FILM COATED",43folders
,100176000004293220381620,,"AMOXICILLIN 250 MG TABLET, ORAL",43folders
,100176000004493120381620,,"AMOXICILLIN 500 MG TABLET, ORAL",43folders
,100176000004591121781620,,"AMOXICILLIN 875 MG TABLET, FILM COATED",43folders
,100764280004493120181184,,GLUCOSAMINE SULFATE 500 MG CAPSULE,43folders
,140420280004320121781542,,"ABACAVIR SULFATE 300 MG TABLET, FILM COATED",43folders
,100803000003620120381445,,"HYDROXYZINE 10 MG TABLET, ORAL",43folders
,100181000004412110181297,,PEFLOXACIN 400 MG/1 AMP. OR VIAL INJECTION,43folders
,100181000004410221781297,,"PEFLOXACIN 400 MG TABLET, FILM COATED",43folders
,100553000005560210281589,,"UROKINASE 250,000 UNITS/5 ML INJECTION, POWDER",43folders
,100553000005420110281589,,"UROKINASE 5,000 UNITS/1 ML INJECTION, POWDER",43folders
,100803000003620120381619,,"HYDROXYZINE 10 MG TABLET, ORAL",43folders
,201020140018181120381228,,"ALUMINIUM HYDROXIDE+MAGNESIUM HYDROXIDE+SIMETHICONE 300 MG+100 MG+25 MG TABLET, ORAL",43folders
,100070000004410220381625,,"ALBENDAZOLE 400 MG TABLET, ORAL",43folders
,100070000000920430481625,,ALBENDAZOLE 100 MG/5 ML SUSPENSION,43folders
,100070000004203120381625,,"ALBENDAZOLE 200 MG TABLET, ORAL",43folders
,201110200019999920381036,,"MULTIVITAMINS TABLET, ORAL",43folders
,201110510019999930581036,,VITAMIN B COMPLEX SYRUP,43folders
,202030120019999921781144,,"HAEMATINICS+IRON COMBINATION PRODUCTS TABLET, FILM COATED",43folders
,100803000003620120381619,,"HYDROXYZINE 10 MG TABLET, ORAL",43folders
,101564992006617110181107,,"RABIES ANTIGEN, PURIFIED INACTIVATED VERO CELL >=2.5 UNITS/1 DOSE INJECTION",43folders
,144219000003620120381408,,"ARIPIPRAZOLE 10 MG TABLET, ORAL",43folders
,144219000003620120381408,,"ARIPIPRAZOLE 10 MG TABLET, ORAL",43folders
,144219000003620120381306,,"ARIPIPRAZOLE 10 MG TABLET, ORAL",43folders
,144219000003620120381306,,"ARIPIPRAZOLE 10 MG TABLET, ORAL",43folders
,144219000003670120381408,,"ARIPIPRAZOLE 15 MG TABLET, ORAL",43folders
,144219000003670120381408,,"ARIPIPRAZOLE 15 MG TABLET, ORAL",43folders
,144219000003670120381306,,"ARIPIPRAZOLE 15 MG TABLET, ORAL",43folders
,144219000003670120381306,,"ARIPIPRAZOLE 15 MG TABLET, ORAL",43folders
,144219000003620121481408,,"ARIPIPRAZOLE 10 MG TABLET, ORAL DISPERSIBLE",43folders
,144219000003670121481408,,"ARIPIPRAZOLE 15 MG TABLET, ORAL DISPERSIBLE",43folders
